"","month","EVENT_TYPE","STATE","CROPDMG","PROPDMG","FATALITIES","INJURIES","DMG","health_impact"
"143",1,"FLASH FLOOD","NM",1000,15000,0,0,16000,0
"144",1,"FLASH FLOOD","NV",0,6602000,0,0,6602000,0
"145",1,"FLASH FLOOD","NY",5e+05,115955000,7,0,116455000,7
"146",1,"FLASH FLOOD","OH",0,7977000,0,0,7977000,0
"147",1,"FLASH FLOOD","OK",0,50000,0,0,50000,0
"148",1,"FLASH FLOOD","PA",0,138728500,14,0,138728500,14
"149",1,"FLASH FLOOD","PR",0,590000,1,0,590000,1
"150",1,"FLASH FLOOD","SC",0,232000,1,3,232000,4
"151",1,"FLASH FLOOD","TN",1000,4035000,1,13,4036000,14
"152",1,"FLASH FLOOD","TX",0,2071000,5,1,2071000,6
"153",1,"FLASH FLOOD","UT",0,5500000,0,11,5500000,11
"154",1,"FLASH FLOOD","VA",0,60408000,1,0,60408000,1
"155",1,"FLASH FLOOD","VT",0,515000,0,0,515000,0
"156",1,"FLASH FLOOD","WV",0,25045500,2,0,25045500,2
"157",1,"FLOOD","AK",0,1605000,0,0,1605000,0
"158",1,"FLOOD","AL",0,850000,0,0,850000,0
"159",1,"FLOOD","AR",0,244000,0,0,244000,0
"160",1,"FLOOD","AS",0,40000,0,0,40000,0
"161",1,"FLOOD","AZ",0,24687000,1,8,24687000,9
"162",1,"FLOOD","CA",108700000,115932736000,8,12,116041436000,20
"163",1,"FLOOD","CT",0,587000,0,0,587000,0
"164",1,"FLOOD","DC",0,1e+07,0,0,1e+07,0
"165",1,"FLOOD","DE",0,0,0,1,0,1
"166",1,"FLOOD","FL",4e+05,5349000,0,0,5749000,0
"167",1,"FLOOD","GA",0,146000,0,0,146000,0
"168",1,"FLOOD","HI",0,24000,0,0,24000,0
"169",1,"FLOOD","IA",0,5000,0,0,5000,0
"170",1,"FLOOD","ID",0,1483000,0,0,1483000,0
"171",1,"FLOOD","IL",0,8245000,0,0,8245000,0
"172",1,"FLOOD","IN",50000,82909000,13,2,82959000,15
"173",1,"FLOOD","KY",30000,1481000,1,0,1511000,1
"174",1,"FLOOD","LA",0,4045000,1,4,4045000,5
"175",1,"FLOOD","MA",0,9e+05,0,0,9e+05,0
"176",1,"FLOOD","MD",0,60023000,0,2,60023000,2
"177",1,"FLOOD","ME",0,1454000,0,1,1454000,1
"178",1,"FLOOD","MI",0,33000,0,0,33000,0
"179",1,"FLOOD","MO",0,56500,2,0,56500,2
"180",1,"FLOOD","MS",0,8161000,1,0,8161000,1
"181",1,"FLOOD","NC",50000,2630000,0,1,2680000,1
"182",1,"FLOOD","NE",0,12000,0,0,12000,0
"183",1,"FLOOD","NJ",0,13720000,1,3,13720000,4
"184",1,"FLOOD","NM",0,135000,0,0,135000,0
"185",1,"FLOOD","NV",0,662755000,2,50,662755000,52
"186",1,"FLOOD","NY",0,102756600,3,0,102756600,3
"187",1,"FLOOD","OH",0,73728500,3,1,73728500,4
"188",1,"FLOOD","OK",0,20000,0,0,20000,0
"189",1,"FLOOD","OR",18400000,107650000,1,0,126050000,1
"190",1,"FLOOD","PA",0,74329000,4,3,74329000,7
"191",1,"FLOOD","PR",0,24000,1,0,24000,1
"192",1,"FLOOD","SC",0,162000,0,0,162000,0
"193",1,"FLOOD","TN",0,20669000,7,0,20669000,7
"194",1,"FLOOD","TX",0,184000,0,0,184000,0
"195",1,"FLOOD","UT",0,300030000,1,6,300030000,7
"196",1,"FLOOD","VA",81000,15962000,4,1,16043000,5
"197",1,"FLOOD","VT",0,3909000,2,0,3909000,2
"198",1,"FLOOD","WA",0,86616000,1,0,86616000,1
"199",1,"FLOOD","WV",150000,52309000,0,1,52459000,1
"200",1,"FLOOD","WY",0,4000,0,0,4000,0
"201",1,"FREEZING FOG","IA",0,50000,0,0,50000,0
"202",1,"FREEZING FOG","KS",0,40000,0,0,40000,0
"203",1,"FREEZING FOG","MT",0,142000,0,0,142000,0
"204",1,"FREEZING FOG","WA",0,2e+06,0,0,2e+06,0
"205",1,"FROST/FREEZE","CA",1.42e+08,580000,0,0,142580000,0
"206",1,"FROST/FREEZE","FL",426425000,11220000,0,0,437645000,0
"207",1,"FROST/FREEZE","IA",0,650000,0,0,650000,0
"208",1,"FROST/FREEZE","ME",0,0,2,0,0,2
"209",1,"FROST/FREEZE","MT",0,2e+05,0,0,2e+05,0
"210",1,"FROST/FREEZE","NV",0,1500000,0,0,1500000,0
"211",1,"FROST/FREEZE","NY",0,5407000,0,0,5407000,0
"212",1,"FROST/FREEZE","SC",0,1e+05,0,0,1e+05,0
"213",1,"FROST/FREEZE","TX",0,45000,0,0,45000,0
"214",1,"FROST/FREEZE","UT",0,1e+05,0,0,1e+05,0
"215",1,"FROST/FREEZE","VT",0,7e+05,0,0,7e+05,0
"216",1,"FROST/FREEZE","WA",0,5e+05,2,5,5e+05,7
"217",1,"FROST/FREEZE","WV",0,50000,0,0,50000,0
"218",1,"HAIL","AL",42000,535000,0,0,577000,0
"219",1,"HAIL","AR",0,264940,0,0,264940,0
"220",1,"HAIL","CA",0,1e+05,0,0,1e+05,0
"221",1,"HAIL","FL",0,71250,0,0,71250,0
"222",1,"HAIL","GA",0,4202000,0,0,4202000,0
"223",1,"HAIL","ID",5e+05,60000,0,0,560000,0
"224",1,"HAIL","KY",0,90000,0,0,90000,0
"225",1,"HAIL","LA",0,65217500,0,0,65217500,0
"226",1,"HAIL","MI",5000,5000,0,0,10000,0
"227",1,"HAIL","MO",0,800900,0,0,800900,0
"228",1,"HAIL","MS",0,2575810,0,0,2575810,0
"229",1,"HAIL","NC",0,2000,0,0,2000,0
"230",1,"HAIL","OH",0,5000,0,0,5000,0
"231",1,"HAIL","OK",0,2645000,0,0,2645000,0
"232",1,"HAIL","PA",0,5000,0,0,5000,0
"233",1,"HAIL","SC",0,5000,0,0,5000,0
"234",1,"HAIL","TN",0,31730,0,0,31730,0
"235",1,"HAIL","TX",25000,65872000,0,0,65897000,0
"236",1,"HAIL","WV",0,45000,0,0,45000,0
"237",1,"HEAVY RAIN","AR",0,0,1,0,0,1
"238",1,"HEAVY RAIN","AZ",0,5005000,0,0,5005000,0
"239",1,"HEAVY RAIN","CA",1.92e+08,154169000,6,22,346169000,28
"240",1,"HEAVY RAIN","ID",0,50000,0,0,50000,0
"241",1,"HEAVY RAIN","IL",0,2000,0,0,2000,0
"242",1,"HEAVY RAIN","KY",0,10000,0,0,10000,0
"243",1,"HEAVY RAIN","ME",0,0,0,4,0,4
"244",1,"HEAVY RAIN","MI",0,5e+06,0,0,5e+06,0
"245",1,"HEAVY RAIN","NC",0,70000,0,0,70000,0
"246",1,"HEAVY RAIN","NV",0,15000,0,0,15000,0
"247",1,"HEAVY RAIN","NY",0,294000,0,0,294000,0
"248",1,"HEAVY RAIN","OR",0,75000,0,0,75000,0
"249",1,"HEAVY RAIN","TX",0,40000,0,0,40000,0
"250",1,"HEAVY RAIN","VT",0,451000,0,0,451000,0
"251",1,"HEAVY RAIN","WA",0,11450000,0,15,11450000,15
"252",1,"HEAVY SNOW","AK",10000,366000,1,2,376000,3
"253",1,"HEAVY SNOW","AL",0,300,0,0,300,0
"254",1,"HEAVY SNOW","AR",20000,275060,0,0,295060,0
"255",1,"HEAVY SNOW","AZ",0,50000,2,0,50000,2
"256",1,"HEAVY SNOW","CA",0,5900000,16,6,5900000,22
"257",1,"HEAVY SNOW","CO",0,5e+05,1,4,5e+05,5
"258",1,"HEAVY SNOW","CT",0,173000,0,0,173000,0
"259",1,"HEAVY SNOW","DE",0,0,0,30,0,30
"260",1,"HEAVY SNOW","IA",0,3089900,2,0,3089900,2
"261",1,"HEAVY SNOW","ID",0,5696000,2,0,5696000,2
"262",1,"HEAVY SNOW","IL",300,53500,2,7,53800,9
"263",1,"HEAVY SNOW","KS",0,376000,0,1,376000,1
"264",1,"HEAVY SNOW","KY",0,21050,3,0,21050,3
"265",1,"HEAVY SNOW","MA",0,32474000,0,0,32474000,0
"266",1,"HEAVY SNOW","MD",0,1e+05,0,0,1e+05,0
"267",1,"HEAVY SNOW","ME",0,7500000,0,0,7500000,0
"268",1,"HEAVY SNOW","MI",0,8195000,0,6,8195000,6
"269",1,"HEAVY SNOW","MN",0,8000,0,0,8000,0
"270",1,"HEAVY SNOW","MO",700,3270020,0,0,3270720,0
"271",1,"HEAVY SNOW","MS",0,1780000,0,0,1780000,0
"272",1,"HEAVY SNOW","MT",0,110000,0,0,110000,0
"273",1,"HEAVY SNOW","NC",0,880000,2,1,880000,3
"274",1,"HEAVY SNOW","NH",0,420000,0,1,420000,1
"275",1,"HEAVY SNOW","NJ",0,1.1e+07,0,0,1.1e+07,0
"276",1,"HEAVY SNOW","NM",0,0,1,6,0,7
"277",1,"HEAVY SNOW","NV",0,540000,0,1,540000,1
"278",1,"HEAVY SNOW","NY",0,15682000,0,2,15682000,2
"279",1,"HEAVY SNOW","OH",0,11193000,2,19,11193000,21
"280",1,"HEAVY SNOW","OK",0,6731000,0,0,6731000,0
"281",1,"HEAVY SNOW","OR",0,0,1,4,0,5
"282",1,"HEAVY SNOW","PA",0,11786000,4,187,11786000,191
"283",1,"HEAVY SNOW","RI",0,35000,0,0,35000,0
"284",1,"HEAVY SNOW","SD",0,50000,0,0,50000,0
"285",1,"HEAVY SNOW","TN",0,306160,0,0,306160,0
"286",1,"HEAVY SNOW","TX",0,1075000,0,0,1075000,0
"287",1,"HEAVY SNOW","UT",20000,50591500,4,52,50611500,56
"288",1,"HEAVY SNOW","VA",0,2679000,2,1,2679000,3
"289",1,"HEAVY SNOW","VT",0,605000,0,0,605000,0
"290",1,"HEAVY SNOW","WA",0,12380000,2,16,12380000,18
"291",1,"HEAVY SNOW","WI",0,130000,1,20,130000,21
"292",1,"HEAVY SNOW","WV",0,63265000,6,7,63265000,13
"293",1,"HEAVY SNOW","WY",0,4000,0,0,4000,0
"294",1,"HIGH SURF","CA",0,18905000,6,6,18905000,12
"295",1,"HIGH SURF","FL",0,0,1,1,0,2
"296",1,"HIGH SURF","GU",0,0,6,3,0,9
"297",1,"HIGH SURF","HI",0,170000,5,4,170000,9
"298",1,"HIGH SURF","PR",0,0,1,0,0,1
"299",1,"HIGH SURF","VA",0,0,1,1,0,2
"300",1,"HIGH SURF","VI",0,0,1,0,0,1
"301",1,"HIGH SURF","WA",0,90000,0,0,90000,0
"302",1,"HIGH WIND","AK",0,9201600,0,8,9201600,8
"303",1,"HIGH WIND","AL",0,594000,0,0,594000,0
"304",1,"HIGH WIND","AR",0,564000,0,0,564000,0
"305",1,"HIGH WIND","AS",23000,8000,0,0,31000,0
"306",1,"HIGH WIND","AZ",0,622000,0,0,622000,0
"307",1,"HIGH WIND","CA",29210000,18917970,6,30,48127970,36
"308",1,"HIGH WIND","CO",0,1038000,0,8,1038000,8
"309",1,"HIGH WIND","CT",0,330000,0,0,330000,0
"310",1,"HIGH WIND","DC",0,270000,0,0,270000,0
"311",1,"HIGH WIND","DE",0,150000,0,0,150000,0
"312",1,"HIGH WIND","FL",0,126000,1,6,126000,7
"313",1,"HIGH WIND","GA",0,217000,0,1,217000,1
"314",1,"HIGH WIND","GU",0,50000,0,1,50000,1
"315",1,"HIGH WIND","HI",0,570000,1,0,570000,1
"316",1,"HIGH WIND","IA",0,1340000,0,2,1340000,2
"317",1,"HIGH WIND","ID",0,61000,3,1,61000,4
"318",1,"HIGH WIND","IL",0,385000,0,0,385000,0
"319",1,"HIGH WIND","IN",0,51510,1,0,51510,1
"320",1,"HIGH WIND","KS",0,353000,1,0,353000,1
"321",1,"HIGH WIND","KY",0,294000,0,0,294000,0
"322",1,"HIGH WIND","LA",0,10000,0,0,10000,0
"323",1,"HIGH WIND","MA",0,2041000,1,0,2041000,1
"324",1,"HIGH WIND","MD",0,1850000,0,2,1850000,2
"325",1,"HIGH WIND","ME",0,270000,0,0,270000,0
"326",1,"HIGH WIND","MN",0,850500,0,0,850500,0
"327",1,"HIGH WIND","MO",0,1717000,0,0,1717000,0
"328",1,"HIGH WIND","MS",0,1140000,0,1,1140000,1
"329",1,"HIGH WIND","MT",0,549000,2,5,549000,7
"330",1,"HIGH WIND","NC",25000,659000,0,0,684000,0
"331",1,"HIGH WIND","ND",0,90000,0,0,90000,0
"332",1,"HIGH WIND","NE",0,37000,0,0,37000,0
"333",1,"HIGH WIND","NH",0,35000,0,0,35000,0
"334",1,"HIGH WIND","NJ",0,6680000,0,4,6680000,4
"335",1,"HIGH WIND","NM",1000,389000,0,0,390000,0
"336",1,"HIGH WIND","NV",0,1306500,0,1,1306500,1
"337",1,"HIGH WIND","NY",0,7214500,1,8,7214500,9
"338",1,"HIGH WIND","OH",0,1347000,1,6,1347000,7
"339",1,"HIGH WIND","OK",0,76700,0,0,76700,0
"340",1,"HIGH WIND","OR",5e+06,3793500,2,9,8793500,11
"341",1,"HIGH WIND","PA",0,1405000,0,2,1405000,2
"342",1,"HIGH WIND","RI",0,250000,0,2,250000,2
"343",1,"HIGH WIND","SC",0,30000,0,0,30000,0
"344",1,"HIGH WIND","SD",0,140000,0,0,140000,0
"345",1,"HIGH WIND","TN",65000,1210500,0,0,1275500,0
"346",1,"HIGH WIND","TX",0,11563500,4,6,11563500,10
"347",1,"HIGH WIND","UT",1000,624000,0,0,625000,0
"348",1,"HIGH WIND","VA",0,3232300,0,3,3232300,3
"349",1,"HIGH WIND","VT",0,426000,1,1,426000,2
"350",1,"HIGH WIND","WA",23000,21066000,7,34,21089000,41
"351",1,"HIGH WIND","WV",0,953700,0,0,953700,0
"352",1,"HIGH WIND","WY",0,418500,0,5,418500,5
"353",1,"HURRICANE/TYPHOON","AS",5e+05,50500000,0,20,5.1e+07,20
"354",1,"ICE STORM","AK",10000,104000,0,3,114000,3
"355",1,"ICE STORM","AL",0,4331000,0,0,4331000,0
"356",1,"ICE STORM","AR",0,142725000,1,0,142725000,1
"357",1,"ICE STORM","AZ",0,0,5,0,0,5
"358",1,"ICE STORM","CT",0,0,1,3,0,4
"359",1,"ICE STORM","DC",0,20000,0,0,20000,0
"360",1,"ICE STORM","GA",0,51138000,0,6,51138000,6
"361",1,"ICE STORM","IA",0,6939460,0,2,6939460,2
"362",1,"ICE STORM","IL",300,399500,0,1,399800,1
"363",1,"ICE STORM","IN",0,310000,0,2,310000,2
"364",1,"ICE STORM","KS",0,37700000,4,12,37700000,16
"365",1,"ICE STORM","KY",0,35607000,0,0,35607000,0
"366",1,"ICE STORM","LA",20000,12560000,2,15,12580000,17
"367",1,"ICE STORM","MA",0,135000,0,1,135000,1
"368",1,"ICE STORM","MD",20000,3251000,0,0,3271000,0
"369",1,"ICE STORM","ME",0,3.13e+08,1,0,3.13e+08,1
"370",1,"ICE STORM","MI",0,1320000,0,2,1320000,2
"371",1,"ICE STORM","MN",0,382000,0,1,382000,1
